sentiment,review_body,product_category
-1,This was a very odd fitting top. i should have read the description more closely. the colors are beautiful but the cut hit me in all the wrong places.,Blouses
-1,Hate i have to return it - way too long-almost more mid thigh/almost dress length.,Blouses
-1,I initially liked the feel and quality of the top but once it was on it was much shorter and looser than the picture of the model. it flowed out from my chest with one central pleat in the front and my husband said it made me look pregnant. then came the tedious task of taking it off with such a snug fit in the shoulders. i'm regularly a size 2/xs  32d and 120 lbs and both size 2 and 4 did not work for me.,Blouses
-1,Why is it so difficult to find a shirt that doesn't expose half of my bra if i lift my arm?     this is cute (beyond the arm hole issue) but overpriced. going back.,Blouses
-1,I'm 5' 7 and bough a size 8 regular. this is so short that if you wear with jeans you can see a midriff. cute pattern  but i'm returning it.,Blouses
-1,The material is so thin and so itchy..like other reviewers stated..it itches so bad and feels like sandpaper..i thought it would be ok to wear a tank top underneath but sleeves are still itchy. otherwise the design is great and the long peplum hem is very pretty and would look great with skinny pants or leggings and boots,Blouses
-1,This blouse has such a beautiful print but then it just goes down from there and can't be saved. the fabric is a sheer silk so it comes with an attached camisole that just doesn't lay right underneath. the sleeves are all gathered up and they have a puffy gather at the top that just ruins the whole blouse. i wish it was just a simple popover type blouse because it really is a lovely print. definitely not worth the money even at 1/2 off plus 25-%.,Blouses
-1,I ordered in blue. so excited at arrival; it looked gorgeous...then i tried it on! i'm 5'  106#  34d and my upper arms are a little muscular. i normally order 2p (sometimes 0p)...and never a problem. this top was sooo tight under the arms and at the upper arms...if i tried any movement would have probably ripped out the seams! maybe i just received a product that was mis-sized  or defective. all i can say  if you have skinny arms  you'll love it.,Blouses
-1,I ordered this because the reviews were outstanding. i am returning it. although the embroidery looks fine on screen  in person it looks cheap and tacky. moreover  the high ruffled neck goes a step too far -- into over-the-top victorian cutesy.  overpriced  to boot.  obviously  mine is a minority opinion.,Blouses
0,I liked the quality of the top and the design. but when i got a top that fit well across the chest  it was shorter than i usually like my tops  so i will be returning it.,Blouses
0,I love the pattern of this shirt but there is definitely a design flaw in the arm/armpits.,Blouses
0,This top was quite voluminous when i purchased it and i sized down to an xs  however after hand washing it once in cold water it has shrunk significantly. it still fits  but something to be aware of.,Blouses
0,True to size on the neckline and arms but extremely large and puffy in the torso. very unflattering cut!,Blouses
0,Great looking shirt that i bought for my wife  but poor quality. the fit is great but the buttons literally keep falling off. first time my wife wore it two buttons just fell off. when she was sewing them back on she showed me and another button just came off with the slightest tug. its really too bad because it looks great otherwise.,Blouses
0,It's hard enough for women to find clothing that will make them look as beautiful as they feel but add a bigger bust size (i'm a 36dd) and it makes it this much harder. i ordered this top because of how beautiful it looked on the model and the price. when it arrived i was so excited! retailer does such a beautiful job with the way they handle their items! it was wrapped beautiful and no damage. i ordered a size 8 knowing that my chest could be a potential problem. the too itself is gorgeous! i did,Blouses
0,I'm 5'7  125lbs  and the small fits perfectly. the sleeves are the right length (i have long arms and legs)  and the body fits loosely  without looking sloppy. at my height  the small is not long enough to wear as a tunic  which is fine.    unfortunately  the shirt arrived with makeup stains around the laces and the inside of the shirt  so i had to wash it before wearing it.    i only purchased this shirt because it was on sale.,Blouses
0,I was so excited to receive this top but was immediately disappointed! it is much thinner than it seems & it almost feels like a cheap top. it's also see-through but i'm not bothered by that. it has a very boxy cut which i like with slimmer bottoms. but overall  i didn't care for this top & expected it to be more structured & stiff rather than flimsy & thin. it's going back...,Blouses
0,This top runs 2 full sizes large. had to send back and didn?t want to bother with getting a new one.,Blouses
1,This is a really beautiful top. the colors are lovely a subtle. it is larger than i expected. i ordered a small which is my usual size and it is more of a baggy tunic. it still works because the material is so sheer  but does not fit me like the photo size down,Blouses
1,Love this flowing  cute top! casual  but can be easily dressed up. great fit.,Blouses
1,Love this top. very easy to wear to lunch or site seeing. the fabric is soft and drapes nicely.,Blouses
1,Ordered the shirt online. beautiful print and good quality material. runs very large - size down 1 may be 2 sizes as the material on the body is very wide. i will be exchanging it in the store.,Blouses
1,Absolutely stunning. the color  the pattern  the quality. i love everything about this top.,Blouses
1,"This shirt is made of fabric so soft you can practically feel it with your eyes. i saw it right when i walked into the store and knew that i had to have it. it is unlike any fabric i've ever had: a soft two-ply  almost gauzy cotton. one cute detail is that the ""inside"" layer is a smaller windowpane plaid than the outside layer. so cute! and so soft! one thickness above cheesecloth  i would say. and like cheesecloth  it has a natural ""give"" within the weave  but it is not stretchy. the shoulders",Blouses
1,Super simple top that's comfy. i like a looser fit and its boxy- both things i like. seems like it will be a staple piece.,Blouses
1,The color pattern in this material pops a lot more in person than on the website. fits perfectly  very versatile regardless of the occasion or the season (at least in california!). love it.,Blouses
1,I held my breath as i slid this on for the first time right out of the package; the size 8 was perfect for me (usual medium  size 8  short-waisted  34f)! this blouse is truly a find: luxurious linen in a unique  appealing design  excellent fit (the pleat at the back gives nice room to make the fit just right  the v-neck is not too deep (thankfully bra friendly!)  the slightly lower back length is stylish but not extreme  and finally  admirable craftsmanship. i highly recommend! this will feel di,Blouses
-1,I'm so disappointed. the dress looked lovely in the box  but when i started to unbutton it to try it on  two buttons split in half! it's going right back.,Dresses
-1,Ugh  the fit of this dress is terrible :/ what a beautiful dress though -- the material and the colors -- had so much potential. but  the fit is awful -- i ordered by regular size and the top was more or less ok  if not a tad big  but hip down was crazy tight that i couldn't even zip it without a ton of effort. i don't think sizing up will help because then the top will be even bigger. disappointing.,Dresses
-1,I was really excited when i ordered this dress for na upcoming beach vacation but was very disappointed when i finally saw it in person. it reminded me of those christmas nightgowns from the 90s with the red and white ruffles. pass!,Dresses
-1,This dress is huge. also  i was super disappointed in the fabric. i thought it would be silly like a georgette. but it was coarse  more like a poplin  and thin. i thought it looked cheap.,Dresses
-1,This runs super big and it just wasn't flattering--way too much fabric. i wanted to love this dress.,Dresses
-1,I am a sucker for a peasant dress. i love anything i can toss with a pair flats and head out the door  but this dress is ridiculous. i look like a schoolmarm. the white bib collar takes this dress into costume territory. i love one september and have many items from the brand that i wear regularly  so i'm bummed that this wasn't what i expected. i knew it would have flow  but it's more billowy than i wanted. stay away unless you want to look like a little girl on the first day of school.,Dresses
-1,I got fooled by this dress's description. it's 100% polyester and not wool as it claims to be! looks cheap.returned it!,Dresses
-1,I wanted to love this dress because the fabric is fun  but i could not find a way to make the drawstring waist look like anything but a potato sack.the model has her hands hiding the lack of a waistline,Dresses
-1,I wanted to like this dress  but it just did not work for a bustier frame. the fabric is quite loose  does not nip in at the waist and is not particularly clingy  so if you are well-endowed  your assets create a bit of a shelf from which the rest of the dress just hangs. as a result  the swing comes from the apex of your chest as opposed to from your hips (as on the model)  and the asymmetrical hemline makes the look even more awkward. on smaller curves  this would likely be very flattering  but,Dresses
